ABANDONED BUILDING,Public
AIRCRAFT,Business
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,Business
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,Business
AIRPORT EXTERIOR - NON-SECURE AREA,Business
AIRPORT EXTERIOR - SECURE AREA,Business
AIRPORT PARKING LOT,Business
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,Business
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,Business
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,Business
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,Business
AIRPORT TRANSPORTATION SYSTEM (ATS),Business
AIRPORT VENDING ESTABLISHMENT,Business
AIRPORT/AIRCRAFT,Business
ALLEY,Public
ANIMAL HOSPITAL,Business
APARTMENT,Residential
APPLIANCE STORE,Business
ATHLETIC CLUB,Business
ATM (AUTOMATIC TELLER MACHINE),Public
AUTO,Public
BANK,Business
BAR OR TAVERN,Business
BARBER SHOP/BEAUTY SALON,Business
BARBERSHOP,Business
BOAT/WATERCRAFT,Public
BOWLING ALLEY,Business
BRIDGE,Public
CAR WASH,Business
CEMETARY,Public
CHA APARTMENT,Residential
CHA HALLWAY/STAIRWELL/ELEVATOR,Residential
CHA PARKING LOT,Residential
CHA PARKING LOT/GROUNDS,Residential
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,Public
CLEANING STORE,Business
COIN OPERATED MACHINE,Public
COLLEGE/UNIVERSITY GROUNDS,Public
COLLEGE/UNIVERSITY RESIDENCE HALL,Residential
COMMERCIAL / BUSINESS OFFICE,Business
CONSTRUCTION SITE,Business
CONVENIENCE STORE,Business
CREDIT UNION,Business
CTA BUS,Public
CTA BUS STOP,Public
CTA GARAGE / OTHER PROPERTY,Public
CTA PLATFORM,Public
CTA STATION,Public
CTA TRACKS - RIGHT OF WAY,Public
CTA TRAIN,Public
CURRENCY EXCHANGE,Business
DAY CARE CENTER,Business
DELIVERY TRUCK,Public
DEPARTMENT STORE,Business
DRIVEWAY,Public
DRIVEWAY - RESIDENTIAL,Residential
DRUG STORE,Business
FACTORY/MANUFACTURING BUILDING,Business
FEDERAL BUILDING,Public
FIRE STATION,Public
FOREST PRESERVE,Public
GANGWAY,Public
GAS STATION,Business
GOVERNMENT BUILDING/PROPERTY,Public
GROCERY FOOD STORE,Business
HALLWAY,N
HIGHWAY/EXPRESSWAY,Public
HOSPITAL BUILDING/GROUNDS,Public
HOTEL/MOTEL,Business
HOUSE,Residential
JAIL / LOCK-UP FACILITY,Public
LAKEFRONT/WATERFRONT/RIVERBANK,Public
LIBRARY,Public
MEDICAL/DENTAL OFFICE,Business
MOVIE HOUSE/THEATER,Business
NEWSSTAND,Business
NURSING HOME/RETIREMENT HOME,Business
OTHER,N
OTHER COMMERCIAL TRANSPORTATION,Public
OTHER RAILROAD PROP / TRAIN DEPOT,Business
PARK PROPERTY,Public
PARKING LOT,Public
PARKING LOT/GARAGE(NON.RESID.),Business
PAWN SHOP,Business
POLICE FACILITY/VEH PARKING LOT,Public
POOL ROOM,Business
PORCH,Residential
RESIDENCE,Residential
RESIDENCE PORCH/HALLWAY,Residential
RESIDENCE-GARAGE,Residential
RESIDENTIAL YARD (FRONT/BACK),Residential
RESTAURANT,Business
RETAIL STORE,Business
SAVINGS AND LOAN,Business
SCHOOL, PRIVATE, BUILDING,Public
SCHOOL, PRIVATE, GROUNDS,Public
SCHOOL, PUBLIC, BUILDING,Public
SCHOOL, PUBLIC, GROUNDS,Public
SIDEWALK,Public
SMALL RETAIL STORE,Business
SPORTS ARENA/STADIUM,Public
STREET,Public
TAVERN/LIQUOR STORE,Business
TAXICAB,Public
VACANT LOT,Public
VACANT LOT/LAND,Public
VEHICLE - DELIVERY TRUCK,Public
VEHICLE NON-COMMERCIAL,Public
VEHICLE-COMMERCIAL,Public
WAREHOUSE,Business
YARD,N